date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:30	1304/1304	URF---	200	added ('OK%20(cached)')	image/png		https://html.dynamiclayers.net/te/cleanz/assets/img/cross.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/cross.png	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:30	432702/432702	URF---	200	added ('OK%20(cached)')	image/jpeg		https://html.dynamiclayers.net/te/cleanz/assets/img/hero-bg.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/hero-bg.jpg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:32	853675/853675	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5434-d06ab%22	https://html.dynamiclayers.net/te/cleanz/assets/img/video-bg.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/video-bg.jpg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:32	23526/23526	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53d4-5be6%22	https://html.dynamiclayers.net/te/cleanz/assets/img/hero-bg-2.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/hero-bg-2.jpg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:33	804/804	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f0d53b8-324%22	https://html.dynamiclayers.net/te/cleanz/assets/img/bg-shape.svg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/bg-shape.svg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:33	128528/128528	---M--	200	added ('OK')	image/png	etag:%225f0d5439-1f610%22	https://html.dynamiclayers.net/te/cleanz/assets/img/women.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/women.png	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:34	6481/6481	---M--	200	added ('OK')	image/png	etag:%225f0d5432-1951%22	https://html.dynamiclayers.net/te/cleanz/assets/img/wave-border.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/wave-border.png	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:35	128528/128528	URF---	200	added ('OK%20(cached)')	image/png		https://html.dynamiclayers.net/te/cleanz/assets/img/women.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/women.png	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:37	176695/176695	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53bd-2b237%22	https://html.dynamiclayers.net/te/cleanz/assets/img/blue-bg.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/blue-bg.jpg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:37	294689/294689	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53d5-47f21%22	https://html.dynamiclayers.net/te/cleanz/assets/img/features-bg.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/features-bg.jpg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:38	42126/42126	---M--	200	added ('OK')	image/png	etag:%225f0d53dc-a48e%22	https://html.dynamiclayers.net/te/cleanz/assets/img/map-pattern.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/map-pattern.png	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:39	1392/1392	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jul%202020%2011:18:39%20GMT	https://html.dynamiclayers.net/te/cleanz/assets/img/bg-dots.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/bg-dots.png	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
10:28:40	950905/950905	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53d0-e8279%22	https://html.dynamiclayers.net/te/cleanz/assets/img/faq-bg.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/faq-bg.jpg	(from https://html.dynamiclayers.net/te/cleanz/assets/css/main.css)
